Inventory,,,,,,,,,,,,,,,
Item ID,Item type,Item Name,Item Description,Aesthetic tag (decor only),Base Cost,Seed Description,Plant Decor Type,Total Ticks (Growth Time),Sell Price (Mature Plant/Decor),Is Fixture (Decor only),Plant Description 1,Plant Description 2,Plant Description 3,Plant Description 4,Plant Description 5
4133,Decor,Mushroom Table,,,2200,,DEC_Table_Mushroom,,1100,FALSE,,,,,
4134,Decor,Picnic Table,,,1800,,DEC_Table_Picnic,,900,FALSE,,,,,
4135,Decor,Brown Wood Trumpet Table,,,1600,,DEC_Table_Wood_RoundLeg_Brown,,800,FALSE,,,,,
4136,Decor,Dark Brown Wood Trumpet Table,,,1600,,DEC_Table_Wood_RoundLeg_DarkBrown,,800,FALSE,,,,,
4137,Decor,Orange Wood Trumpet Table,,,1600,,DEC_Table_Wood_RoundLeg_Orange,,800,FALSE,,,,,
4138,Decor,White Wood Trumpet Table,,,1600,,DEC_Table_Wood_RoundLeg_White,,800,FALSE,,,,,
4139,Decor,Brown Wood Tapered Table,,,1600,,DEC_Table_Wood_SlantLeg_Brown,,800,FALSE,,,,,
4140,Decor,Dark Brown Wood Tapered Table,,,1600,,DEC_Table_Wood_SlantLeg_DarkBrown,,800,FALSE,,,,,
4141,Decor,Orange Wood Tapered Table,,,1600,,DEC_Table_Wood_SlantLeg_Orange,,800,FALSE,,,,,
4142,Decor,White Wood Tapered Table,,,1600,,DEC_Table_Wood_SlantLeg_White,,800,FALSE,,,,,
4143,Decor,Brown Wood Table,,,1600,,DEC_Table_Wood_StraightLeg_Brown,,800,FALSE,,,,,
4144,Decor,Dark Brown Wood Simple Table,,,1600,,DEC_Table_Wood_StraightLeg_DarkBrown,,800,FALSE,,,,,
4145,Decor,Orange Wood Simple Table,,,1600,,DEC_Table_Wood_StraightLeg_Orange,,800,FALSE,,,,,
4146,Decor,White Wood Simple Table,,,1600,,DEC_Table_Wood_StraightLeg_White,,800,FALSE,,,,,
4147,Decor,Metal Bird Bath,,,1200,,DEC_Water_BirdBath01,,600,FALSE,,,,,
4148,Decor,Natural Bird Bath,,,1200,,DEC_Water_BirdBath02,,600,FALSE,,,,,
4149,Decor,Floral Bird Bath,,,1200,,DEC_Water_BirdBath03,,600,FALSE,,,,,
4150,Decor,Simple Fountain,,,2200,,DEC_Water_Fountain_Simple,,1100,FALSE,,,,,
4151,Decor,Fancy Marble Fountain,,,4200,,DEC_Water_Fountain_Fancy01,,2100,FALSE,,,,,
4152,Decor,Fancy Platinum Fountain,,,4200,,DEC_Water_Fountain_Fancy02,,2100,FALSE,,,,,
4153,Decor,Magic Fountain,,,6400,,DEC_Water_Fountain_Magic,,3200,FALSE,,,,,
4154,Decor,Rustic Well,,,1200,,DEC_Water_Well_Rustic,,600,FALSE,,,,,
4155,Decor,Waterpump,,,800,,DEC_Water_Waterpump,,400,FALSE,,,,,
4156,Decor,Elephant Watering Can,,,800,,DEC_Water_Can,,400,FALSE,,,,,
4157,Decor,Wishing Well,,,1400,,DEC_Water_Well_TreeBranch,,700,FALSE,,,,,
4158,Decor,Golden Well,,,2000,,DEC_Water_Well_GoldenPot,,1000,FALSE,,,,,
4159,Decor,Thatched Well,,,1800,,DEC_Water_Well_ThatchedRoof,,900,FALSE,,,,,
4160,Decor,Cute Well,,,1200,,DEC_Water_Well_PinkRoof,,600,FALSE,,,,,
4161,Decor,Mailbox Default,,,0,,DEC_Mailbox_Default,,0,TRUE,,,,,
4162,Decor,Briefcase Mailbox,,,2500,,DEC_Mailbox_Briefcase,,1250,TRUE,,,,,
4163,Decor,Gothic Mailbox,,,4000,,DEC_Mailbox_DarkGothic,,2000,TRUE,,,,,
4164,Decor,Frog Mailbox,,,8000,,DEC_Mailbox_Frog,,4000,TRUE,,,,,
4165,Decor,Stone Mailbox,,,3000,,DEC_Mailbox_GreyStone,,1500,TRUE,,,,,
4166,Decor,Copper Mailbox,,,4000,,DEC_Mailbox_Copper,,2000,TRUE,,,,,
4167,Decor,Log Mailbox,,,5000,,DEC_Mailbox_MushroomLog,,2500,TRUE,,,,,
4168,Decor,Ornate Mailbox,,,4000,,DEC_Mailbox_Ornate,,2000,TRUE,,,,,
4169,Decor,Red Tiled Mailbox,,,2500,,DEC_Mailbox_RedTiledRoof,,1250,TRUE,,,,,
4170,Decor,Flower Hat Mailbox,,,4000,,DEC_Mailbox_WhiteFlowerTop,,2000,TRUE,,,,,
4171,Decor,Gate of Default,,,0,,DEC_Fence_Default_Gate,,0,TRUE,,,,,
4172,Decor,Fancy Black Iron Gate,,,10000,,DEC_Fence_FancyIron_Gate,,5000,TRUE,,,,,
4173,Decor,Fancy White Iron Gate,,,10000,,DEC_Fence_FancyIron_White_Gate,,5000,TRUE,,,,,
4174,Decor,Farm Gate,,,8000,,DEC_Fence_Farm_Gate,,4000,TRUE,,,,,
4175,Decor,Fieldstone Gate,,,8000,,DEC_Fence_FieldStone_Gate,,4000,TRUE,,,,,
4176,Decor,Lattice Gate,,,9800,,DEC_Fence_Lattice_Gate,,4900,TRUE,,,,,
4177,Decor,Simple Wooden Gate,,,6000,,DEC_Fence_SimpleWood_Gate,,3000,TRUE,,,,,
4178,Decor,Wooden Tree Gate,,,8000,,DEC_Fence_TreeWood_Gate,,4000,TRUE,,,,,
4179,Decor,Default,,,0,,DEC_Cottage_Default,,0,TRUE,,,,,
4180,Decor,Gothic Manor,,,60000,,DEC_Cottage_Goth,,30000,TRUE,,,,,
4181,Decor,Pacific Northwest Cabin,,,70000,,DEC_Cottage_PNW,,35000,TRUE,,,,,
4182,Decor,Japanese Teahouse,,,70000,,DEC_Cottage_Japanese,,35000,TRUE,,,,,
4183,Decor,Old English Estate,,,50000,,DEC_Cottage_English,,25000,TRUE,,,,,
4184,Decor,Pastel Townhouse,,,80000,,DEC_Cottage_Pastel,,40000,TRUE,,,,,
4185,Decor,Magic Stonehaven,,,50000,,DEC_Cottage_FairyMagic,,25000,TRUE,,,,,
4186,Decor,Acorn Residence,,,50000,,DEC_Cottage_Acorn,,25000,TRUE,,,,,
4187,Decor,Snow White Cottage,,,60000,,DEC_Cottage_SnowWhite,,30000,TRUE,,,,,
4188,Decor,Windmill Home,,,60000,,DEC_Cottage_Windmill,,30000,TRUE,,,,,
4189,Decor,Palm Tree,,,1600,,DEC_Plant_Tree_Palm,,800,FALSE,,,,,
4190,Decor,Tall Pine Tree,,,1600,,DEC_Plant_Tree_Pine01,,800,FALSE,,,,,
4191,Decor,Short Pine Tree,,,1600,,DEC_Plant_Tree_Pine02,,800,FALSE,,,,,
4192,Decor,Squirrel House Tree,,,2000,,DEC_Plant_Tree_SquirrelHouse,,1000,FALSE,,,,,
4193,Decor,Tree Stump,,,800,,DEC_Plant_Tree_Stump,,400,FALSE,,,,,
4194,Decor,Willow Tree,,,1600,,DEC_Plant_Tree_Willow,,800,FALSE,,,,,
4195,Decor,Young Tree,,,1600,,Dec_Plant_Tree01,,800,FALSE,,,,,
4196,Decor,Walnut Tree,,,1600,,Dec_Plant_Tree02,,800,FALSE,,,,,
4197,Decor,Sycamore Tree,,,1600,,Dec_Plant_Tree03,,800,FALSE,,,,,
4198,Decor,Poplar Tree,,,1600,,Dec_Plant_Tree04,,800,FALSE,,,,,
4199,Decor,Bonsai Tree,,,2000,,DEC_Plant_Tree_Bonsai,,1000,FALSE,,,,,
4200,Decor,Purple Potted Plant,,,800,,DEC_Plant_Potted01,,400,FALSE,,,,,
4201,Decor,Planter Box,,,800,,DEC_Plant_Potted02,,400,FALSE,,,,,
4202,Decor,Spiky Potted Plant,,,800,,DEC_Plant_Potted03,,400,FALSE,,,,,
4203,Decor,Fern Bouquet,,,800,,DEC_Plant_Potted04,,400,FALSE,,,,,
4204,Decor,Billy Ball Bouquet,,,800,,DEC_Plant_Potted05,,400,FALSE,,,,,
4205,Decor,Boxy Potted Plant,,,800,,DEC_Plant_Potted06,,400,FALSE,,,,,
4206,Decor,Aloe Plant,,,800,,DEC_Plant_Potted07,,400,FALSE,,,,,
4207,Decor,Flower Bouquets,,,800,,DEC_Plant_Potted08,,400,FALSE,,,,,
4208,Decor,Wheat Bouquet,,,800,,DEC_Plant_Potted09,,400,FALSE,,,,,
4209,Decor,Flower Pot,,,800,,DEC_Plant_Potted10,,400,FALSE,,,,,
4210,Decor,Young Lemon Tree,,,800,,DEC_Plant_Potted11,,400,FALSE,,,,,
4211,Decor,Clover,,,600,,DEC_Plant_Flower_Clover,,300,FALSE,,,,,
4212,Decor,Common Poppy,,,600,,DEC_Plant_Flower_CommonPoppy,,300,FALSE,,,,,
4213,Decor,Dandelion,,,600,,DEC_Plant_Flower_Dandelion,,300,FALSE,,,,,
4214,Decor,Forget Me Not,,,600,,DEC_Plant_Flower_ForgetMeNot,,300,FALSE,,,,,
4215,Decor,Hemlock,,,600,,DEC_Plant_Flower_Hemlock,,300,FALSE,,,,,
4216,Decor,Wild Daisies,,,600,,DEC_Plant_Flower_WildDaisy,,300,FALSE,,,,,
4217,Decor,Peace Lily,,,600,,DEC_Plant_Flower_PeaceLily,,300,FALSE,,,,,
5000,Character,Grandma,,,0,,,,,,,,,,
5001,Character,Gardening Shopkeeper,Phoebe is the owner of Plant & Prosper. Witty\ generous\ and spunky\ Phoebe never fails in starting up fascinating conversations. Her colorful sense of style perfectly reflects her beautiful\ vibrant personality!,,0,,,,,,,,,,
5002,Character,Decor Shopkeeper,Isaac is the teenage son of the owners of Crafted with Care. He's a good (but awkward) kid who is still finding himself. Dry and witty\ Isaac's goal is to move out of Hickory Hollow one day and explore the world. ,,0,,,,,,,,,,
5003,Character,Tulip Golem,Soft and sincere\ Tulip has a passion for helping others. Don't let its gentle nature fool you\ though—Tulip has the physical and emotional strength to always protect those it cares about the most.,,0,,,,,,,,,,
5004,Character,Apple Golem,Apple is a glamorous\ eloquent individual with a knack for puns and fun facts. At her core\ Apple aims to not only build her own confidence\ but also help others gain more confidence as well.,,0,,,,,,,,,,
5005,Character,Cotton Golem,Cotton's always got their head in the clouds\ requiring about 3 naps a day (at least). When they're not busy sleeping\ Cotton loves to observe bugs in the garden or ponder the intricacies of life. Although they may not always seem present\ Cotton has their heart in the right place and is always willing to offer a warm\ fluffy hug.,,0,,,,,,,,,,
5006,Character,Crocus Golem,Crocus may seem small and shy\ but it's working hard to blossom and branch out! To help cope with its anxiety\ Crocus loves to oil paint scenes from the garden.,,0,,,,,,,,,,
5007,Character,Pumpkin Golem,Pumpkin is energetic\ spontaneous\ and eager to adventure whenever he can. Bubbly and outgoing\ Pumpkin is petrified of anything scary—especially haunted houses. He'd much rather prefer a party with all of his friends from the pumpkin patch.,,0,,,,,,,,,,
5008,Character,Turnip Golem,Turnip is known as the grumpiest of the golems\ as it's hard to get a smile out of him. His closed-off personality is off-putting to some\ but those that take the time to get to know him will be rewarded with an honest\ loyal companion.,,0,,,,,,,,,,
